word,count,auto_pronunciation,manual_pronunciation,status,notes
Puruśa,11915,Purusha,,auto,
sádhaná,4180,saadhanaa,,auto,
Krśńa,3025,Krshńa,,auto,
Ráŕh,1577,Raaŕh,,auto,
Saḿskrta,1519,Samskrta,,auto,
Máyá,1396,Maayaa,,auto,
saḿskáras,1160,samskaaras,,auto,
Saguńa,1143,Saguńa,,auto,
kśatriyas,1123,kshaatriyas,,auto,
Sádhaná,1054,Saadhanaa,,auto,
sádhaka,1042,saadhaka,,auto,
samádhi,1011,samaadhi,,auto,
Puruśottama,975,Purushottama,,auto,
sádhakas,811,saadhakas,,auto,
Ánanda,806,aananda,,auto,
shúdras,677,shoodras,,auto,
Nirguńa,665,Nirguńa,,auto,
jiṋána,640,jnyaaana,,auto,
kośa,627,kosha,,auto,
Párthasárathi,616,Paarthasaarathi,,auto,
Prákrta,606,Praakrta,,auto,
tanmátras,556,tanmaatras,,auto,
átman,552,aatman,,auto,
Bábá,548,Baabaa,,auto,
Paramátman,545,Paramaatman,,auto,
Viśńu,533,Vishńu,,auto,
Párvatii,527,Paarvatii,,auto,
ahaḿtattva,521,ahamtattva,,auto,
bháva,520,bhaava,,auto,
Átman,513,aatman,,auto,
Paramátmá,504,Paramaatmaa,,auto,
Avidyá,500,Avidyaa,,auto,
ná,461,naa,,auto,
pramá,454,pramaa,,auto,
Kśatriya,453,kshaatriya,,auto,
dhyána,435,dhyaana,,auto,
Mahábhárata,415,Mahaabhaarata,,auto,
Kośa,409,Kosha,,auto,
Náráyańa,391,Naaraayańa,,auto,
Ráma,386,Raama,,auto,
vidyá,385,vidyaa,,auto,
Vidyá,384,Vidyaa,,auto,
avidyá,383,avidyaa,,auto,
mudrá,383,mudraa,,auto,
guńas,381,guńas,,auto,
Bhagaván,378,Bhagavaan,,auto,
kśatriya,375,kshaatriya,,auto,
Kálii,374,Kaalii,,auto,
Yajiṋa,374,Yajnyaa,,auto,
Bhágavata,372,Bhaagavata,,auto,
práńa,367,praańa,,auto,
sevá,366,sevaa,,auto,
Giitá,356,Giitaa,,auto,
mokśa,356,mokshaa,,auto,
shúdra,353,shoodra,,auto,
vá,351,vaa,,auto,
kulakuńd́alinii,327,kulakuńdalinii,,auto,
Sadáshiva,322,Sadaashiva,,auto,
Iśt́a,321,Ishta,,auto,
shástra,314,shaastra,,auto,
sádhu,313,saadhu,,auto,
Márga,303,Maarga,,auto,
pratisaiṋcara,301,pratisaiṋchara,,auto,
Mudrá,298,Mudraa,,auto,
pápa,293,paapa,,auto,
Pratisaiṋcara,290,Pratisaiṋchara,,auto,
Sádhaka,289,Saadhaka,,auto,
Samádhi,289,Samaadhi,,auto,
Táraka,289,Taaraka,,auto,
Práńa,287,Praańa,,auto,
ghaiṋ,286,ghaiṋ,,auto,
sahasrára,284,sahasraara,,auto,
Avidyámáyá,282,Avidyaamaayaa,,auto,
jiivátmá,282,jiivaatmaa,,auto,
Brahmá,281,Brahmaa,,auto,
diikśá,279,diikshaaa,,auto,
sarvaḿ,279,sarvam,,auto,
ácárya,278,aachaarya,,auto,
má,277,maa,,auto,
Vacanámrtam,272,Vachanaamrtam,,auto,
tanmátra,271,tanmaatra,,auto,
Saiṋcara,267,Saiṋchara,,auto,
Sáḿkhya,267,Saamkhya,,auto,
rśi,266,rshi,,auto,
ÁAA,252,aaAA,,auto,
saiṋcara,252,saiṋchara,,auto,
kámamaya,241,kaamamaya,,auto,
kośas,235,koshas,,auto,
áus,231,aaus,,auto,
ÁVA,230,aaVA,,auto,
práńáyáma,230,praańaayaama,,auto,
Vaeśńava,230,Vaeshńava,,auto,
Ahaḿtattva,229,Ahamtattva,,auto,
táńd́ava,229,taańdava,,auto,
sá,227,saa,,auto,
Bhavánii,226,Bhavaanii,,auto,
Sádhakas,225,Saadhakas,,auto,
Tárá,223,Taaraa,,auto,
ámi,217,aami,,auto,
saḿskára,217,samskaara,,auto,
Rámáyańa,212,Raamaayańa,,auto,
Durgá,211,Durgaa,,auto,
lokatrikońa,211,lokatrikońa,,auto,
Ácárya,209,aachaarya,,auto,
Mahádeva,208,Mahaadeva,,auto,
puruśa,208,purusha,,auto,
Jiṋána,205,Jnyaaana,,auto,
Shákta,203,Shaakta,,auto,
Krśńa's,202,Krshńa's,,auto,
Oṋḿ,202,omm,,auto,
Shúdras,201,Shoodras,,auto,
átmá,200,aatmaa,,auto,
Rádhá,200,Raadhaa,,auto,
Shúdra,200,Shoodra,,auto,
oṋḿkára,198,ommkaara,,auto,
ásanas,194,aasanas,,auto,
káma,191,kaama,,auto,
ánanda,184,aananda,,auto,
Oṋḿkára,183,ommkaara,,auto,
Pramátrikońa,174,Pramaatrikońa,,auto,
yajiṋa,172,yajnyaa,,auto,
Bháva,170,Bhaava,,auto,
d́a,169,da,,auto,
tvaḿ,169,tvam,,auto,
Saḿskáras,168,Samskaaras,,auto,
Mahásambhúti,164,Mahaasambhooti,,auto,
váyus,164,vaayus,,auto,
itihása,163,itihaasa,,auto,
prańidhána,162,prańidhaana,,auto,
sambhúti,162,sambhooti,,auto,
devatá,161,devataa,,auto,
jiṋániis,161,jnyaaaniis,,auto,
kriyá,161,kriyaa,,auto,
Gauṋgá,160,Gauṋgaa,,auto,
anáhata,158,anaahata,,auto,
nám,158,naam,,auto,
práńáh,158,praańaah,,auto,
sattvaguńa,154,sattvaguńa,,auto,
vaerágya,154,vaeraagya,,auto,
puńya,153,puńya,,auto,
Avadhúta,152,Avadhoota,,auto,
Bhárata,152,Bhaarata,,auto,
Mádhava,150,Maadhava,,auto,
múládhára,150,moolaadhaara,,auto,
kalá,148,kalaa,,auto,
jiivátman,147,jiivaatman,,auto,
Kśatriyas,147,kshaatriyas,,auto,
Máyáváda,147,Maayaavaada,,auto,
Kurukśetra,146,Kurukshaetra,,auto,
oṋḿ,146,omm,,auto,
Paramártha,146,Paramaartha,,auto,
ahiḿsá,143,ahimsaa,,auto,
rśis,143,rshis,,auto,
Vidyámáyá,142,Vidyaamaayaa,,auto,
nihitaḿ,141,nihitam,,auto,
pramátrikońa,141,pramaatrikońa,,auto,
mánava,140,maanava,,auto,
Shaḿkara,140,Shamkara,,auto,
Kaośikii,139,Kaoshikii,,auto,
Mokśa,136,Mokshaa,,auto,
avatára,135,avataara,,auto,
Lakśmii,135,Lakshamii,,auto,
váyu,135,vaayu,,auto,
Kámamaya,132,Kaamamaya,,auto,
Má,132,Maa,,auto,
mańipura,131,mańipura,,auto,
Sútram,130,Sootram,,auto,
pará,129,paraa,,auto,
Kárttika,128,Kaarttika,,auto,
nái,128,naai,,auto,
rága,128,raaga,,auto,
samása,128,samaasa,,auto,
shraddhá,128,shraddhaa,,auto,
ágama,127,aagama,,auto,
liilá,127,liilaa,,auto,
Tadekaḿ,127,Tadekam,,auto,
ámár,126,aamaar,,auto,
bhútáni,126,bhootaani,,auto,
guńa,126,guńa,,auto,
Nárada,126,Naarada,,auto,
jiṋánii,125,jnyaaanii,,auto,
kuńd́alinii,125,kuńdalinii,,auto,
tathá,125,tathaa,,auto,
svabháva,123,svabhaava,,auto,
práńendriya,122,praańendriya,,auto,
Puruśah,122,Purushah,,auto,
duratyayá,120,duratyayaa,,auto,
kśititattva,120,kshaititattva,,auto,
paramaḿ,120,paramam,,auto,
vibhinnáh,120,vibhinnaah,,auto,
Bhúta,119,Bhoota,,auto,
pátaka,119,paataka,,auto,
rajoguńa,119,rajoguńa,,auto,
jiṋátvá,118,jnyaaatvaa,,auto,
Paramá,118,Paramaa,,auto,
Rám,118,Raam,,auto,
Sá,117,Saa,,auto,
tárayet,116,taarayet,,auto,
yatamána,116,yatamaana,,auto,
áche,115,aache,,auto,
átmani,115,aatmani,,auto,
dhárańá,115,dhaarańaa,,auto,
Advaetaváda,114,Advaetavaada,,auto,
guháyám,114,guhaayaam,,auto,
samája,114,samaaja,,auto,
sharańaḿ,114,sharańam,,auto,
tattvaḿ,114,tattvam,,auto,
Mágadhii,113,Maagadhii,,auto,
śa,113,sha,,auto,
bhái,112,bhaai,,auto,
prańava,112,prańava,,auto,
sadá,112,sadaa,,auto,
Kśara,111,kshaara,,auto,
Ahaḿ,110,Aham,,auto,
bhayaḿ,110,bhayam,,auto,
oṋm,110,omm,,auto,
mahápátaka,109,mahaapaataka,,auto,
ájiṋá,108,aajnyaaa,,auto,
devatás,107,devataas,,auto,
Hirańmaya,106,Hirańmaya,,auto,
márga,106,maarga,,auto,
Dharmakśetra,105,Dharmakshaetra,,auto,
jiṋánam,105,jnyaaanam,,auto,
paraḿ,105,param,,auto,
Prańidhána,105,Prańidhaana,,auto,
Akśara,104,Akshaara,,auto,
yáti,104,yaati,,auto,
páshas,103,paashas,,auto,
pitá,103,pitaa,,auto,
sádhus,103,saadhus,,auto,
dharmakśetra,102,dharmakshaetra,,auto,
itikathá,101,itikathaa,,auto,
